Date;Platform;Users;Profiled Mentors;Profiled Mentees;Total Profiled;Total Non-Profiled;Mentees Who Initiated Relationship;Mentors Currently in Relationship;Mentors Completed Relationship;Mentors Ever in Relationship;Mentees Currently in Relationship;Mentees Completed Relationship;Mentees Ever in Relationship;No: of Active Relationships;No: of Completed Relationships;Total no. of Request Initiated;Current no. of Requests Pending;Current no. of Requests Accepted;Current no. of Requests Completed;Current no. of Requests Expired;Current no. of Requests Declined;Current no. of Requests Removed;No: of Roundtable;No: of Roundtable Users;No: of Roundtable Posts;No: of Insights;Insight Comments;Connections (Followers and Being Followed);Total Messages;Message Posts;Meetings (Upcoming);Meetings (Completed);Meetings (Deleted);Meetings (Total);Profiled;Mentees who initiated a Request;Mentors in an Active Relationship;Mentees in an Active Relationship;Mentors Completed Relationship;Mentees Completed Relationship;Mentors in either Active or Completed Relationship;Mentees in either Active or Completed Relationship;Number of Active Relationships;Number of Completed Relationships;;;;;;;
5/11/20;Company_01;7;5;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0.00%;0;0;0;0;0;0;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/11/20;Company_02;4;3;4;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;;10;0;0.00%;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/11/20;Company_08;60;22;32;50;10;9;0;11;11;1;15;16;1;16;;;;;;;;1;3;;0;0;5;0;0;0;0;0;0;83.33%;28.12%;0.00%;3.12%;50.00%;46.88%;50.00%;50.00%;1;16;;;;;;;
5/11/20;Company_10;3;1;3;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;10;0;0.00%;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/11/20;Company_12;18;11;7;13;5;2;0;2;2;0;1;1;0;2;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;72.22%;28.57%;0.00%;0.00%;18.18%;14.29%;18.18%;14.29%;0;2;;;;;;;
5/11/20;Company_14;2394;73;74;122;2272;20;24;13;32;24;12;33;26;14;;;;;;;;17;30;;30;2;52;0;0;0;0;0;0;5.10%;27.03%;32.88%;32.43%;17.81%;16.22%;43.84%;44.59%;26;14;;;;;;;
5/11/20;Company_15;845;438;600;747;98;91;95;42;132;91;38;126;100;42;;;;;;;;3;5;;41;9;287;0;0;0;0;0;0;88.40%;15.17%;21.69%;15.17%;9.59%;6.33%;30.14%;21.00%;100;42;;;;;;;
5/11/20;Company_19;4;3;3;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;10;0;1;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/11/20;Company_22;223;129;115;141;82;29;4;31;34;5;30;30;5;75;;;;;;;;37;38;;149;53;211;0;0;0;0;0;0;63.23%;25.22%;3.10%;4.35%;24.03%;26.09%;26.36%;26.09%;5;75;;;;;;;
5/11/20;Company_25;3;1;2;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;;9;0;0;0;0;0;0;0;0;66.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/11/20;Company_26;2790;1377;1640;2102;688;398;64;219;262;58;273;324;76;392;;;;;;;;18;312;;158;70;163800.00%;0;0;0;0;0;0;75.34%;24.27%;4.65%;3.54%;15.90%;16.65%;19.03%;19.76%;76;392;;;;;;;
5/11/20;Company_27;391;61;323;380;11;96;1;39;39;1;80;81;1;91;;;;;;;;1;4;;6;1;132;0;0;0;0;0;0;97.19%;29.72%;1.64%;0.31%;63.93%;24.77%;63.93%;25.08%;1;91;;;;;;;
5/11/20;Company_28;472;263;217;284;188;17;2;8;10;2;8;10;2;8;;;;;;;;2;13;;42;7;15100.00%;0;0;0;0;0;0;60.17%;7.83%;0.76%;0.92%;3.04%;3.69%;3.80%;4.61%;2;8;;;;;;;
5/11/20;Company_30;5;3;3;3;2;0;0;0;0;0;0;0;0;0;;;;;;;;14;3;;27;6;1;0;0;0;0;0;0;60.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/11/20;Company_32;4;3;2;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/11/20;Company_36;1972;533;792;1873;99;460;70;315;350;79;252;321;86;650;;;;;;;;18;438;;301;143;207400.00%;0;0;0;0;0;0;94.98%;58.08%;13.13%;9.97%;59.10%;31.82%;65.67%;40.53%;86;650;;;;;;;
5/11/20;Company_42;40;21;18;30;10;4;4;1;5;2;1;3;4;1;;;;;;;;1;2;;17;0;6;0;0;0;0;0;0;75.00%;22.22%;19.05%;11.11%;4.76%;5.56%;23.81%;16.67%;4;1;;;;;;;
5/11/20;Company_43;4;2;3;3;1;0;1;0;1;1;0;1;1;0;;;;;;;;1;2;;9;1;1;0;0;0;0;0;0;75.00%;0.00%;50.00%;33.33%;0.00%;0.00%;50.00%;33.33%;1;0;;;;;;;
5/11/20;Company_45;90;56;60;79;11;14;19;12;25;17;11;23;22;17;;;;;;;;25;16;;25;1;6400.00%;0;0;0;0;0;0;87.78%;23.33%;33.93%;28.33%;21.43%;18.33%;44.64%;38.33%;22;17;;;;;;;
5/11/20;Company_56;507;260;199;420;87;27;71;44;103;71;60;123;72;75;;;;;;;;9;49;;60;22;15000.00%;;;;;;;82.84%;13.57%;27.31%;35.68%;16.92%;30.15%;39.62%;61.81%;72;75;;;;;;;
5/11/20;Company_60;7;4;3;5;2;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;0;0;0.00%;;;;;;;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/11/20;Company_61;162;72;73;145;17;0;57;0;57;57;0;57;57;0;;;;;;;;0;0;;15;15;63;;;;;;;89.51%;0.00%;79.17%;78.08%;0.00%;0.00%;79.17%;78.08%;57;0;;;;;;;
5/11/20;Company_62;171;78;99;136;35;12;0;14;14;0;11;11;0;15;;;;;;;;0;0;;22;5;64;;;;;;;79.53%;12.12%;0.00%;0.00%;17.95%;11.11%;17.95%;11.11%;0;15;;;;;;;
5/11/20;Company_72;3576;1829;2200;3135;441;57;4;23;26;5;22;27;5;28;;;;;;;;2;23;;24;4;139;;;;;;;87.67%;2.59%;0.22%;0.23%;1.26%;1.00%;1.42%;1.23%;5;28;;;;;;;
5/11/20;Company_75;34063;2375;2670;3287;30776;278;28;206;231;28;207;226;30;277;;;;;;;;34;296;;207;130;867;;;;;;;9.65%;10.41%;1.18%;1.05%;8.67%;7.75%;9.73%;8.46%;30;277;;;;;;;
5/11/20;Company_76;71;33;22;66;5;7;6;1;7;5;1;6;7;1;;;;;;;;4;9;;2;1;41;;;;;;;92.96%;31.82%;18.18%;22.73%;3.03%;4.55%;21.21%;27.27%;7;1;;;;;;;
5/18/20;Company_01;7;5;4;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_02;4;3;4;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;;10;0;0;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_08;60;22;32;50;10;9;0;11;11;1;15;16;1;16;;;;;;;;1;3;;0;0;500.00%;0;0;0;0;0;0;83.33%;28.12%;0.00%;3.12%;50.00%;46.88%;50.00%;50.00%;1;16;;;;;;;
5/18/20;Company_10;5;3;4;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;10;0;1;0;0;0;0;0;0;100.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_12;18;11;7;13;5;2;0;2;2;0;1;1;0;2;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;72.22%;28.57%;0.00%;0.00%;18.18%;14.29%;18.18%;14.29%;0;2;;;;;;;
5/18/20;Company_14;2394;73;75;123;2271;20;24;13;33;23;13;33;26;15;;;;;;;;17;30;;31;2;52;0;0;0;0;0;0;5.14%;26.67%;32.88%;30.67%;17.81%;17.33%;45.21%;44.00%;26;15;;;;;;;
5/18/20;Company_15;799;432;582;728;71;91;83;51;131;81;48;125;88;53;;;;;;;;3;5;;43;9;288;0;0;0;0;0;0;91.11%;15.64%;19.21%;13.92%;11.81%;8.25%;30.32%;21.48%;88;53;;;;;;;
5/18/20;Company_18;91;50;9;68;23;0;0;0;0;0;0;0;0;0;;;;;;;;6;25;;14;2;83;0;0;0;0;0;0;74.73%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_19;4;3;3;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;10;0;1;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_22;224;129;115;141;83;29;4;31;34;5;30;30;5;75;;;;;;;;37;38;;150;53;21100.00%;0;0;0;0;0;0;62.95%;25.22%;3.10%;4.35%;24.03%;26.09%;26.36%;26.09%;5;75;;;;;;;
5/18/20;Company_25;3;1;2;2;1;0;0;0;0;0;0;0;0;0;;;;;;;;1;1;;9;0;0;0;0;0;0;0;0;66.67%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_26;2812;1428;1714;2189;623;404;62;224;270;58;282;330;74;402;;;;;;;;18;312;;159;70;1666;0;0;0;0;0;0;77.84%;23.57%;4.34%;3.38%;15.69%;16.45%;18.91%;19.25%;74;402;;;;;;;
5/18/20;Company_27;391;61;323;380;11;97;2;39;40;2;80;82;2;91;;;;;;;;1;4;;6;1;132;0;0;0;0;0;0;97.19%;30.03%;3.28%;0.62%;63.93%;24.77%;65.57%;25.39%;2;91;;;;;;;
5/18/20;Company_28;472;263;217;284;188;17;2;8;10;2;8;10;2;8;;;;;;;;2;13;;42;7;151;0;0;0;0;0;0;60.17%;7.83%;0.76%;0.92%;3.04%;3.69%;3.80%;4.61%;2;8;;;;;;;
5/18/20;Company_30;5;3;3;3;2;0;0;0;0;0;0;0;0;0;;;;;;;;14;3;;27;6;1;0;0;0;0;0;0;60.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_32;4;3;2;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;0;0;0;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_36;1973;533;789;1873;100;459;63;319;350;70;260;319;76;660;;;;;;;;18;438;;301;143;207400.00%;0;0;0;0;0;0;94.93%;58.17%;11.82%;8.87%;59.85%;32.95%;65.67%;40.43%;76;660;;;;;;;
5/18/20;Company_42;44;24;19;33;11;4;2;3;5;2;2;3;2;3;;;;;;;;1;2;;17;0;600.00%;0;0;0;0;0;0;75.00%;21.05%;8.33%;10.53%;12.50%;10.53%;20.83%;15.79%;2;3;;;;;;;
5/18/20;Company_43;4;2;3;3;1;0;0;1;1;0;1;1;0;1;;;;;;;;1;2;;9;1;100.00%;0;0;0;0;0;0;75.00%;0.00%;0.00%;0.00%;50.00%;33.33%;50.00%;33.33%;0;1;;;;;;;
5/18/20;Company_45;92;58;62;81;11;14;20;12;26;17;11;23;23;17;;;;;;;;25;16;;25;1;64;0;0;0;0;0;0;88.04%;22.58%;34.48%;27.42%;20.69%;17.74%;44.83%;37.10%;23;17;;;;;;;
5/18/20;Company_56;507;260;199;420;87;28;71;45;103;71;61;123;72;76;;;;;;;;9;49;;64;22;150;;;;;;;82.84%;14.07%;27.31%;35.68%;17.31%;30.65%;39.62%;61.81%;72;76;;;;;;;
5/18/20;Company_60;7;4;3;5;2;0;0;0;0;0;0;0;0;0;;;;;;;;0;0;;0;0;0;;;;;;;71.43%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0;0;;;;;;;
5/18/20;Company_61;162;72;73;145;17;0;57;0;57;57;0;57;57;0;;;;;;;;0;0;;15;15;63;;;;;;;89.51%;0.00%;79.17%;78.08%;0.00%;0.00%;79.17%;78.08%;57;0;;;;;;;
